# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_FIRST_OCCURRENCE 247 0 58 16777221 40487376 2 ../new_snippets/AuthenticationExamples.snippet.logon_anon.cs
DUPTYPE_WITHIN_SAME_TREE -247 0 58 16777221 40487467 2 ../new_snippets/QuickStartExamples.snippet.anon-login.cs
DUPTYPE_FIRST_OCCURRENCE 321 0 61 16777221 40487422 2 ../new_snippets/OpenARealmExamples.snippet.open-synced-realm-synchronously.cs
DUPTYPE_WITHIN_SAME_TREE -321 0 61 16777221 40487465 2 ../new_snippets/QuickStartExamples.snippet.open-synced-realm-sync.cs
DUPTYPE_FIRST_OCCURRENCE 6 1 137 16777221 12437319 1 ./examples/dotnet/ConsoleTests/FodyWeavers.xml
DUPTYPE_WITHIN_SAME_TREE -6 1 137 16777221 14366859 1 ./examples/dotnet/LocalOnly/FodyWeavers.xml
DUPTYPE_WITHIN_SAME_TREE -6 1 137 16777221 12437330 1 ./examples/dotnet/Examples/FodyWeavers.xml
DUPTYPE_FIRST_OCCURRENCE 75 4 146 16777221 40472697 1 ./examples/dotnet/ConsoleTests/bin/Debug/netcoreapp3.1/ConsoleTests.runtimeconfig.json
DUPTYPE_WITHIN_SAME_TREE -75 4 146 16777221 40472691 1 ./examples/dotnet/LocalOnly/bin/Debug/netcoreapp3.1/LocalOnly.runtimeconfig.json
DUPTYPE_WITHIN_SAME_TREE -75 4 146 16777221 40473322 1 ./examples/dotnet/Examples/bin/Debug/netcoreapp3.1/Examples.runtimeconfig.json
DUPTYPE_FIRST_OCCURRENCE 74 4 153 16777221 40472698 1 ./examples/dotnet/ConsoleTests/bin/Debug/netcoreapp3.1/ConsoleTests.runtimeconfig.dev.json
DUPTYPE_WITHIN_SAME_TREE -74 4 153 16777221 40473323 1 ./examples/dotnet/Examples/bin/Debug/netcoreapp3.1/Examples.runtimeconfig.dev.json
DUPTYPE_WITHIN_SAME_TREE -74 4 153 16777221 40472693 1 ./examples/dotnet/LocalOnly/bin/Debug/netcoreapp3.1/LocalOnly.runtimeconfig.dev.json
DUPTYPE_FIRST_OCCURRENCE 87 4 189 16777221 11514418 1 ./examples/dotnet/ConsoleTests/obj/Debug/netcoreapp3.1/.NETCoreApp,Version=v3.1.AssemblyAttributes.cs
DUPTYPE_WITHIN_SAME_TREE -87 4 189 16777221 14338244 1 ./examples/dotnet/LocalOnly/obj/Debug/netcoreapp3.1/.NETCoreApp,Version=v3.1.AssemblyAttributes.cs
DUPTYPE_WITHIN_SAME_TREE -87 4 189 16777221 11514372 1 ./examples/dotnet/Examples/obj/Debug/netcoreapp3.1/.NETCoreApp,Version=v3.1.AssemblyAttributes.cs
DUPTYPE_FIRST_OCCURRENCE 7 1 1705 16777221 31763739 1 ./examples/dotnet/ConsoleTests/FodyWeavers.xsd
DUPTYPE_WITHIN_SAME_TREE -7 1 1705 16777221 31763764 1 ./examples/dotnet/LocalOnly/FodyWeavers.xsd
DUPTYPE_WITHIN_SAME_TREE -7 1 1705 16777221 31763752 1 ./examples/dotnet/Examples/FodyWeavers.xsd
DUPTYPE_FIRST_OCCURRENCE 72 4 10752 16777221 40472699 1 ./examples/dotnet/ConsoleTests/bin/Debug/netcoreapp3.1/ConsoleTests.dll
DUPTYPE_WITHIN_SAME_TREE -72 4 10752 16777221 40472656 1 ./examples/dotnet/ConsoleTests/obj/Debug/netcoreapp3.1/ConsoleTests.dll
